country,UN_region,year,Percapita_GDP per,carbon,populations
Latvia,European Union,2016,"$13,732.00 ",1.66,2.06
Lebanon,Middle East/Central Asia,2016,"$9,143.86 ",2.52,4.65
Lesotho,Africa,2016,"$1,338.42 ",0.51,2.05
Liberia,Africa,2016,$397.38 ,0.14,4.19
Libyan Arab Jamahiriya,Africa,2016,"$5,859.43 ",2.33,6.16
Lithuania,European Union,2016,"$14,373.70 ",2.15,3.03
Luxembourg,European Union,2016,"$114,665.00 ",12.65,0.52
Macedonia TFYR,Northern/Eastern Europe,2016,"$5,174.89 ",2.06,2.11
Madagascar,Africa,2016,$456.33 ,0.07,22.29
Malawi,Africa,2016,$493.84 ,0.07,15.91
Malaysia,Asia-Pacific,2016,"$10,252.60 ",2.1,29.24
Mali,Africa,2016,$741.22 ,0.1,14.85
Martinique,Latin America,2016,Not Reported,1.73,0.4
Mauritania,Africa,2016,"$1,524.39 ",0.55,3.8
Mauritius,Africa,2016,"$8,811.15 ",1.99,1.24
Mexico,Latin America,2016,"$10,123.90 ",1.74,120.85
Moldova,Northern/Eastern Europe,2016,"$1,971.03 ",1.03,3.51
Mongolia,Asia-Pacific,2016,"$3,736.07 ",2.09,2.8
Montenegro,Northern/Eastern Europe,2016,"$7,251.60 ",2.13,0.62
Montserrat,Latin America,2016,Not Reported,Not Reported,0
Morocco,Africa,2016,"$3,149.43 ",0.67,32.52
Mozambique,Africa,2016,$538.82 ,0.17,25.2
Myanmar,Asia-Pacific,2016,"$1,117.58 ",0.09,52.8
Namibia,Africa,2016,"$5,880.80 ",1.02,2.26
Nauru,Asia-Pacific,2016,Not Reported,Not Reported,0.01
Nepal,Asia-Pacific,2016,$700.07 ,0.16,27.47
Netherlands,European Union,2016,"$53,589.90 ",3.23,16.71
New Caledonia,Asia-Pacific,2016,Not Reported,1.78,0.25
New Zealand,Asia-Pacific,2016,"$37,488.30 ",2.84,4.46
Nicaragua,Latin America,2016,"$1,626.85 ",0.45,5.99
Niger,Africa,2016,$410.91 ,0.1,17.16
Nigeria,Africa,2016,"$2,612.12 ",0.21,168.83
Norway,Northern/Eastern Europe,2016,"$100,172.00 ",Not Reported,4.99
Oman,Middle East/Central Asia,2016,"$22,622.80 ",5.8,3.31
Pakistan,Asia-Pacific,2016,"$1,218.60 ",0.38,179.16
Panama,Latin America,2016,"$8,410.77 ",1.44,3.8
Papua New Guinea,Asia-Pacific,2016,"$1,871.21 ",0.35,7.17
Paraguay,Latin America,2016,"$3,557.31 ",0.97,6.69
Peru,Latin America,2016,"$5,684.73 ",0.67,29.99
Philippines,Asia-Pacific,2016,"$2,379.44 ",0.34,96.71
Poland,European Union,2016,"$13,769.50 ",2.64,38.21
Portugal,European Union,2016,"$23,217.30 ",2.15,10.6
Qatar,Middle East/Central Asia,2016,"$99,431.50 ",9.57,2.05
Réunion,Africa,2016,Not Reported,3.27,0.86
Romania,European Union,2016,"$9,213.94 ",1.46,21.76
Russian Federation,Northern/Eastern Europe,2016,"$13,320.20 ",3.87,143.17
Rwanda,Africa,2016,$628.08 ,0.07,11.46
Saint Kitts and Nevis,Latin America,2016,"$12,952.50 ",3.34,0.05
Saint Lucia,Latin America,2016,"$7,737.20 ",1.56,0.18
Saint Vincent and Grenadines,Latin America,2016,"$6,171.48 ",Not Reported,0.11
Samoa,Asia-Pacific,2016,"$4,067.15 ",0.96,0.19
Sao Tome and Principe,Africa,2016,"$1,384.53 ",0.37,0.19
Saudi Arabia,Middle East/Central Asia,2016,"$23,593.80 ",4.21,28.29
